168,한전KPS,"28,800",250,-0.86%,200,"12,960","45,000",11.23,"275,105",10.69,14.98,
169,KG동부제철,"12,850",100,-0.77%,"5,000","12,851","100,009",0.19,"513,764",15.59,-7.44,
170,KODEX 코스닥150 레버리지,"16,845",170,-1.00%,0,"12,701","75,400",1.76,"21,588,475",N/A,N/A,
171,SK네트웍스,"5,100",130,-2.49%,"2,500","12,658","248,188",12.30,"1,404,845",-22.08,-5.85,
172,이노션,"62,300",100,+0.16%,500,"12,460","20,000",29.17,"77,926",19.40,9.88,
173,SK디스커버리,"65,200",600,-0.91%,"5,000","12,413","19,038",9.40,"83,287",4.28,11.52,
174,KBSTAR 200,"41,210",10,-0.02%,0,"12,281","29,800",0.11,"358,720",N/A,N/A,
175,대한전선,"1,425",60,+4.40%,500,"12,205","856,473",2.09,"26,783,614",-79.17,-3.99,
176,일양약품,"62,600",500,-0.79%,"2,500","11,948","19,086",7.82,"234,861",115.71,5.20,
177,한국콜마,"51,800",300,+0.58%,500,"11,852","22,881",26.94,"409,675",37.27,6.39,
178,유나이티드제약,"71,700","4,300",+6.38%,500,"11,648","16,245",5.11,"3,908,825",38.71,12.79,
179,LG전자우,"67,500","2,400",-3.43%,"5,000","11,601","17,186",40.38,"1,013,371",14.66,N/A,
180,신세계인터내셔날,"162,000","2,500",-1.52%,"5,000","11,567","7,140",4.85,"46,392",25.65,12.98,
181,코오롱인더,"42,600","1,050",+2.53%,"5,000","11,493","26,979",15.43,"653,174",7.63,1.58,
182,더블유게임즈,"62,100",800,+1.31%,500,"11,411","18,375",14.56,"166,735",10.65,18.93,
183,DGB금융지주,"6,720",60,-0.88%,"5,000","11,367","169,146",46.69,"683,032",3.43,7.31,
184,후성,"11,850",300,-2.47%,500,"10,974","92,607",4.42,"2,757,866",-215.45,3.85,
185,JB금융지주,"5,520",70,-1.25%,"5,000","10,873","196,983",38.94,"325,260",3.14,10.36,
186,금호타이어,"3,690",5,-0.14%,"5,000","10,600","287,260",4.32,"503,935",-10.57,-3.30,
187,영풍,"567,000","1,000",+0.18%,"5,000","10,444","1,842",4.68,"2,518",5.63,7.40,
188,파미셀,"17,400",100,+0.58%,500,"10,433","59,959",7.93,"1,260,591",151.30,8.78,
189,롯데관광개발,"15,000",150,-0.99%,500,"10,391","69,276",5.13,"231,065",-22.03,-4.77,
190,LG상사,"26,650",100,+0.38%,"5,000","10,330","38,760",21.97,"420,195",7.26,2.49,
191,다우기술,"22,900",200,+0.88%,500,"10,274","44,867",22.48,"440,297",3.68,14.62,
192,휴켐스,"24,950","1,000",-3.85%,"1,000","10,199","40,879",8.49,"373,845",21.16,10.82,
193,진원생명과학,"22,700",650,+2.95%,"1,000","10,163","44,771",11.67,"3,096,637",-65.80,-28.50,
194,GKL,"16,350",100,-0.61%,500,"10,113","61,856",5.95,"362,820",-76.05,12.62,
195,티와이홀딩스,"26,750",500,-1.83%,500,"10,031","37,501",7.55,"281,136",N/A,N/A,
196,코스맥스,"98,700","1,300",-1.30%,500,"9,919","10,050",24.74,"85,237",24.43,10.45,
197,롯데칠성,"108,000","2,000",+1.89%,500,"9,693","8,975",10.97,"88,542",-11.08,-11.68,
198,SK가스,"105,000","3,500",+3.45%,"5,000","9,692","9,230",9.01,"51,333",2.46,9.85,
199,보령제약,"20,250",250,+1.25%,500,"9,643","47,620",7.81,"1,276,539",36.29,11.96,
200,세방전지,"68,600","3,100",-4.32%,500,"9,604","14,000",27.10,"268,534",12.99,7.70,
